,Corr,p-value
explosive,0.0001117431597547174,0.9605631654045349
advisornottingham,0.00011174315975471742,0.9605631654045349
ondon,0.00011174315975471742,0.9605631654045349
aldi,0.00011174315975471743,0.9605631654045349
ebacc,0.00011174315975471743,0.9605631654045349
managerfashionnorth,0.00011174315975471745,0.9605631654045349
consultantcompliance,0.00011174315975471746,0.9605631654045349
acquiring,0.00011174315975471747,0.9605631654045349
nde,0.00011174315975471749,0.9605631654045349
alfretonderbyshire,0.00011174315975471749,0.9605631654045349
consultantlocums,0.00011174315975471749,0.9605631654045349
managersporting,0.00011174315975471749,0.9605631654045349
assistantasset,0.00011174315975471749,0.9605631654045349
multiskillled,0.00011174315975471749,0.9605631654045349
prairie,0.00011174315975471749,0.9605631654045349
hbblksister,0.0001117431597547175,0.9605631654045349
feesharing,0.0001117431597547175,0.9605631654045349
fastlearning,0.0001117431597547175,0.9605631654045349
dmr,0.00011174315975471752,0.9605631654045349
managerno1,0.00011174315975471752,0.9605631654045349
leaduatbanking,0.00011174315975471752,0.9605631654045349
megastar,0.00011174315975471753,0.9605631654045349
analystflientside,0.00011174315975471753,0.9605631654045349
southa,0.00011174315975471754,0.9605631654045349
desighn,0.00011174315975471761,0.9605631654045349
tenanted,0.00011174315975471761,0.9605631654045349
facitilies,0.00011174315975471762,0.9605631654045349
enlectronic,0.00011174315975471764,0.9605631654045349
infrastrucure,0.00011174315975471764,0.9605631654045349
mkmc,0.00011174315975471765,0.9605631654045349
unicorn,0.00011174315975471766,0.9605631654045349
extracare,0.00011174315975471766,0.9605631654045349
corporatesurrey,0.0001117431597547177,0.9605631654045349
carglobal,0.0001117431597547177,0.9605631654045349
botswana,0.00011174315975471772,0.9605631654045349
whitstable,0.00011174315975471772,0.9605631654045349
scientifics,0.00011174315975471772,0.9605631654045349
ethnography,0.00011174315975471772,0.9605631654045349
2bd,0.00011174315975471772,0.9605631654045349
consultantfinance,0.00011174315975471773,0.9605631654045349
seleni,0.00011174315975471773,0.9605631654045349
consultanttech,0.00011174315975471775,0.9605631654045349
tr,0.00011174315975471776,0.9605631654045349
stevanage,0.00011174315975471776,0.9605631654045349
ifas,0.00011174315975471776,0.9605631654045349
ebook,0.00011174315975471776,0.9605631654045349
requiredglamorous,0.00011174315975471776,0.9605631654045349
distinctive,0.00011174315975471776,0.9605631654045349
23rd,0.00011174315975471776,0.9605631654045349
premiership,0.00011174315975471776,0.9605631654045349
constrcution,0.00011174315975471777,0.9605631654045349
separation,0.00011174315975471777,0.9605631654045349
extremely,0.00011174315975471777,0.9605631654045349
analystbreak,0.00011174315975471777,0.9605631654045349
advisorhertfordshire,0.00011174315975471777,0.9605631654045349
engineerexclusive,0.00011174315975471777,0.9605631654045349
accross,0.00011174315975471779,0.9605631654045349
irela,0.00011174315975471779,0.9605631654045349
develoepr,0.00011174315975471779,0.9605631654045349
administriation,0.00011174315975471779,0.9605631654045349
birmin,0.0001117431597547178,0.9605631654045349
sqlaward,0.0001117431597547178,0.9605631654045349
linie,0.0001117431597547178,0.9605631654045349
healthwatch,0.00011174315975471781,0.9605631654045349
sequence,0.00011174315975471781,0.9605631654045349
hamps,0.00011174315975471781,0.9605631654045349
adjustersurrey,0.00011174315975471781,0.9605631654045349
mitcheldean,0.00011174315975471781,0.9605631654045349
agencylondon,0.00011174315975471783,0.9605631654045349
ktop,0.00011174315975471783,0.9605631654045349
consultantmedia,0.00011174315975471783,0.9605631654045349
managerfashionwest,0.00011174315975471783,0.9605631654045349
genralist,0.00011174315975471783,0.9605631654045349
shipyard,0.00011174315975471783,0.9605631654045349
sqd,0.00011174315975471784,0.9605631654045349
bioreagents,0.00011174315975471784,0.9605631654045349
businesslondon,0.00011174315975471784,0.9605631654045349
800am,0.00011174315975471784,0.9605631654045349
leaderaccountancy,0.00011174315975471784,0.9605631654045349
secetary,0.00011174315975471785,0.9605631654045349
molesey,0.00011174315975471785,0.9605631654045349
chatered,0.00011174315975471785,0.9605631654045349
reloc,0.00011174315975471785,0.9605631654045349
manipulation,0.00011174315975471785,0.9605631654045349
nkr,0.00011174315975471785,0.9605631654045349
managerkincardineshire,0.00011174315975471785,0.9605631654045349
coordinatator,0.00011174315975471787,0.9605631654045349
camb,0.00011174315975471787,0.9605631654045349
arboriculturist,0.00011174315975471787,0.9605631654045349
retiler,0.00011174315975471787,0.9605631654045349
engineeraberdeen,0.00011174315975471787,0.9605631654045349
developerexciting,0.00011174315975471787,0.9605631654045349
fertilizer,0.00011174315975471787,0.9605631654045349
nhouse,0.00011174315975471787,0.9605631654045349
consultantmilton,0.00011174315975471788,0.9605631654045349
tiptop,0.00011174315975471788,0.9605631654045349
original,0.00011174315975471788,0.9605631654045349
eelectrical,0.00011174315975471788,0.9605631654045349
dealershiplondon,0.00011174315975471788,0.9605631654045349
pdh,0.00011174315975471788,0.9605631654045349
triathlon,0.00011174315975471788,0.9605631654045349
thinker,0.00011174315975471788,0.9605631654045349
clwyd,0.00011174315975471788,0.9605631654045349
hbleadnurse,0.0001117431597547179,0.9605631654045349
sit,0.0001117431597547179,0.9605631654045349
conveying,0.0001117431597547179,0.9605631654045349
dataflex,0.0001117431597547179,0.9605631654045349
fina,0.0001117431597547179,0.9605631654045349
lamw,0.0001117431597547179,0.9605631654045349
assighment,0.0001117431597547179,0.9605631654045349
rtpi,0.0001117431597547179,0.9605631654045349
ema,0.0001117431597547179,0.9605631654045349
brown,0.00011174315975471791,0.9605631654045349
agil,0.00011174315975471791,0.9605631654045349
bdmluton,0.00011174315975471791,0.9605631654045349
managerfinancial,0.00011174315975471791,0.9605631654045349
pointofsales,0.00011174315975471791,0.9605631654045349
consultantit,0.00011174315975471791,0.9605631654045349
pattinson,0.00011174315975471791,0.9605631654045349
cubicle,0.00011174315975471791,0.9605631654045349
25th,0.00011174315975471791,0.9605631654045349
haggie,0.00011174315975471792,0.9605631654045349
qf,0.00011174315975471792,0.9605631654045349
presaleshome,0.00011174315975471792,0.9605631654045349
londonperm,0.00011174315975471792,0.9605631654045349
developeryork,0.00011174315975471792,0.9605631654045349
llp,0.00011174315975471792,0.9605631654045349
serbia,0.00011174315975471792,0.9605631654045349
hetas,0.00011174315975471794,0.9605631654045349
tooldesign,0.00011174315975471794,0.9605631654045349
chemoinformatician,0.00011174315975471794,0.9605631654045349
splicing,0.00011174315975471794,0.9605631654045349
ncd,0.00011174315975471794,0.9605631654045349
managerlondon,0.00011174315975471794,0.9605631654045349
bradf,0.00011174315975471794,0.9605631654045349
apr,0.00011174315975471794,0.9605631654045349
managernorwich,0.00011174315975471795,0.9605631654045349
itt,0.00011174315975471795,0.9605631654045349
onlin,0.00011174315975471795,0.9605631654045349
nox,0.00011174315975471795,0.9605631654045349
vle,0.00011174315975471795,0.9605631654045349
tableware,0.00011174315975471795,0.9605631654045349
bloody,0.00011174315975471795,0.9605631654045349
tdm,0.00011174315975471796,0.9605631654045349
crossplatform,0.00011174315975471796,0.9605631654045349
designdesigner,0.00011174315975471796,0.9605631654045349
steriliser,0.00011174315975471796,0.9605631654045349
laam12,0.00011174315975471796,0.9605631654045349
biolog,0.00011174315975471798,0.9605631654045349
scarf,0.00011174315975471798,0.9605631654045349
simotion,0.00011174315975471798,0.9605631654045349
uis,0.00011174315975471799,0.9605631654045349
consultantc,0.00011174315975471799,0.9605631654045349
exellent,0.00011174315975471799,0.9605631654045349
jb,0.000111743159754718,0.9605631654045349
belfas,0.000111743159754718,0.9605631654045349
pracitioner,0.000111743159754718,0.9605631654045349
sevice,0.000111743159754718,0.9605631654045349
callaboration,0.00011174315975471802,0.9605631654045349
controllerus,0.00011174315975471802,0.9605631654045349
firmnear,0.00011174315975471802,0.9605631654045349
grouondworks,0.00011174315975471802,0.9605631654045349
consultantteam,0.00011174315975471803,0.9605631654045349
cordinator,0.00011174315975471803,0.9605631654045349
bedfor,0.00011174315975471803,0.9605631654045349
analystbelfast,0.00011174315975471804,0.9605631654045349
raman,0.00011174315975471804,0.9605631654045349
fluorescence,0.00011174315975471804,0.9605631654045349
inlife,0.00011174315975471806,0.9605631654045349
tenacious,0.00011174315975471807,0.9605631654045349
m11,0.00011174315975471811,0.9605631654045349
biomarkers,0.00011174315975471813,0.9605631654045349
theranostic,0.00011174315975471813,0.9605631654045349
alcoholic,0.00011174315975471815,0.9605631654045349
pureplay,0.00011174315975471817,0.9605631654045349
thunderhead,0.00011174315975471819,0.9605631654045349
fitouts,0.00011174315975471837,0.9605631654045349
ironmongery,0.00011273896655405876,0.9602120115380863
mycotoxin,0.00011635474183526842,0.9589370369238458
nc,0.00011703830178480209,0.9586960155119246
helen,0.00011925909518987208,0.957912995864545
gameplay,0.00011958715871948123,0.9577973288360841
thame,0.00011958715871948741,0.9577973288360841
sourced,0.00011958715871948839,0.9577973288360841
canning,0.00011958715871948877,0.9577973288360841
beijing,0.00011958715871949274,0.9577973288360841
casuals,0.0001199828408227127,0.9576578223525242
astrophysics,0.00012161583183737403,0.9570820890132244
lanarkshire,0.00012205571386968511,0.9569270063969901
beeston,0.0001241998937600657,0.9561710884894457
electromagnetic,0.00012914202539603337,0.9544289205142202
1000,0.0001399130439519614,0.9506327569636929
mechanically,0.00014130628966266398,0.9501417981093718
2013,0.00014156879897749626,0.9500492958764936
childcarers,0.0001426151397939595,0.9496805962286281
sonar,0.000142974542068461,0.9495539559431698
ladieswear,0.00014538720195271851,0.9487038554958784
osat,0.0001482515178924123,0.9476946900322493
braehead,0.00014983025348829805,0.9471385002930773
oh,0.0001503957330589885,0.9469392876662742
develope,0.0001503957330589929,0.9469392876662742
cleft,0.00015119780644387286,0.9466567312080523
lip,0.00015119780644387286,0.9466567312080523
palate,0.00015119780644387286,0.9466567312080523
anitt,0.00015119780644387318,0.9466567312080523
microbials,0.00015119780644387345,0.9466567312080523
elective,0.00015119780644387432,0.9466567312080523
tridion,0.00015656648862110602,0.944765612448624
steering,0.00015802909555055934,0.944250462556351
analystyorkshire,0.00015802909555056116,0.944250462556351
assay,0.00015802909555056118,0.944250462556351
either,0.0001580290955505612,0.944250462556351
multifranchise,0.0001580290955505612,0.944250462556351
ubercar,0.0001580290955505612,0.944250462556351
executivefinancial,0.0001580290955505613,0.944250462556351
cmsnet,0.00015802909555056132,0.944250462556351
formal,0.00015802909555056132,0.944250462556351
2509m4vc,0.00015802909555056135,0.944250462556351
lbdm,0.00015802909555056135,0.944250462556351
m1corridor,0.00015802909555056135,0.944250462556351
chefrestaurantcity,0.0001580290955505614,0.944250462556351
kmon,0.0001580290955505614,0.944250462556351
climbing,0.0001580290955505614,0.944250462556351
boxing,0.0001580290955505614,0.944250462556351
immidiate,0.00015802909555056156,0.944250462556351
bsc,0.0001580290955505616,0.944250462556351
microcontrollers,0.00015802909555056178,0.944250462556351
coordinatorgloucestershire,0.00015802909555056183,0.944250462556351
testersurrey,0.00015802909555056192,0.944250462556351
abinitio,0.00015802909555056192,0.944250462556351
distributive,0.00015802909555056249,0.944250462556351
chemistraman,0.00015802909555056273,0.944250462556351
spectroscopistserspermanentneast,0.00015802909555056273,0.944250462556351
index,0.0001580290955505638,0.944250462556351
giftware,0.00015802909555056417,0.944250462556351
restauranthampshire,0.0001580290955505646,0.944250462556351
enigneer,0.00015866366321751896,0.9440269664938297
departmental,0.00016012798119143494,0.9435112474838214
lady,0.00016192683719060336,0.942877739762932
gerontology,0.00016247056264077502,0.9426862616740846
humanaties,0.0001629829606497254,0.9425058188615634
guarding,0.00016903388693548363,0.9403751890424766
aged,0.0001696233685736694,0.940167645517808
elderley,0.00017224783810836764,0.939243676964413
one,0.000172530879653795,0.9391440344416457
nickel,0.0001728373937778136,0.9390361296959868
bow,0.00017480984777929303,0.9383417768663158
tfp,0.00017528051286452685,0.9381760979487939
tem,0.0001757929108734759,0.937995731678389
childnrens,0.00017579291087347612,0.937995731678389
glagow,0.0001757929108734763,0.937995731678389
imex,0.00017579291087347634,0.937995731678389
massively,0.00017579291087347636,0.937995731678389
replacement,0.00017579291087347636,0.937995731678389
nonnursing,0.0001757929108734765,0.937995731678389
adm2,0.00017579291087347658,0.937995731678389
bcc,0.0001757929108734767,0.937995731678389
analystexchange,0.00017579291087347693,0.937995731678389
012013,0.000175792910873477,0.937995731678389
taxonomy,0.00017579291087347772,0.937995731678389
denim,0.00017749740039839102,0.9373957671056039
forman,0.0001783549009182266,0.9370939482366173
coalition,0.0001888590601017027,0.9333974920444851
gender,0.00018927928455814808,0.9332496427006088
visio,0.00019063798842804515,0.9327716199437133
ablation,0.00019065245313302942,0.9327665310458245
beam,0.00019065245313302942,0.9327665310458245
theme,0.00019354581852272198,0.9317486612029362
transformer,0.00019354581852272631,0.9317486612029362
dock,0.00019354581852272667,0.9317486612029362
int,0.00019354581852272675,0.9317486612029362
aggregator,0.00019354581852272696,0.9317486612029362
czk,0.0001935458185227287,0.9317486612029362
handbag,0.0001935458185227299,0.9317486612029362
linguamatics,0.00019354581852273133,0.9317486612029362
asynchronous,0.00019354581852273155,0.9317486612029362
ue,0.00019354581852273157,0.9317486612029362
pfs,0.00019354581852273163,0.9317486612029362
sound,0.00019354581852273182,0.9317486612029362
electrode,0.00019354581852273184,0.9317486612029362
doorsets,0.00019354581852273184,0.9317486612029362
executivemilton,0.00019354581852273192,0.9317486612029362
analystyorkshiregain,0.00019354581852273239,0.9317486612029362
webservers,0.00019354581852273255,0.9317486612029362
passed,0.00019372684118672934,0.9316849821342887
nonworking,0.00019372684118672934,0.9316849821342887
daynottinghamshire,0.00019372684118672942,0.9316849821342887
gloucest,0.00019788440906748556,0.9302225788584344
inhalation,0.00019848013693182507,0.9300130537939227
evidence,0.00019978659448534396,0.9295535731037876
linq,0.00020126054690481243,0.9290352127038095
wallington,0.00020299195415868828,0.928426348916758
welltest,0.0002033192245470636,0.9283112662631264
rescue,0.00020561801407141807,0.9275029531551798
tvm,0.0002065367914104801,0.9271799084548596
thinking,0.00020656038414688395,0.9271716133654985
mar,0.000207475471082799,0.9268498784419649
bioinformatician,0.00020766707693072885,0.9267825133554355
endovascular,0.00020820208493956756,0.9265944172286767
trajectory,0.00020820208493956756,0.9265944172286767
resusitation,0.00021382653447425193,0.9246172440768331
respiratory,0.00021623173776078475,0.9237718799241141
alfreton,0.00021664056737704057,0.9236281958586978
hanover,0.00021704095059395744,0.9234874827243633
electricity,0.0002190308182153114,0.9227881870062861
rheolwyr,0.0002207558361588448,0.9221820152337018
demography,0.0002234459257058325,0.9212368073625182
pattern,0.00022344756627701952,0.9212362309503722
telefonica,0.00022348803152571296,0.9212220136510132
qshe,0.0002234880315257142,0.9212220136510132
13485,0.00022348803152571616,0.9212220136510132
e,0.0002234880315257451,0.9212220136510132
beverley,0.00022350661507856192,0.9212154844058451
supervising,0.00022388572233399882,0.9210822880157035
nat,0.00022580671523580697,0.9204073961629834
notting,0.00022682721543418528,0.9200488927088649
outter,0.00022754510977743297,0.9197967049649468
middleweight,0.00022963819630893878,0.9190614746478575
yesr,0.0002304933019449653,0.9187611248958538
saleslogix,0.00023052514842434964,0.9187499392909072
navigation,0.0002350223148445728,0.9171705358235668
sustainment,0.00023556070288573535,0.9169814759050245
galway,0.00023740330378604953,0.9163344651868175
jcaps,0.00023984266199223405,0.9154779944698791
chemistryteacher,0.0002398426619922341,0.9154779944698791
79,0.00023984266199223418,0.9154779944698791
upload,0.00023984266199223418,0.9154779944698791
sde,0.0002398426619922342,0.9154779944698791
brandbig,0.00023984266199223424,0.9154779944698791
nonproduction,0.00023984266199223432,0.9154779944698791
amro,0.00023984266199223437,0.9154779944698791
hawk,0.00023984266199223437,0.9154779944698791
hbtheatlinc,0.0002398426619922344,0.9154779944698791
datacenter,0.00023984266199223443,0.9154779944698791
guil,0.00023984266199223445,0.9154779944698791
phonics,0.00023984266199223448,0.9154779944698791
gr,0.00023984266199223448,0.9154779944698791
uruguay,0.00023984266199223448,0.9154779944698791
chesterlestreet,0.00023984266199223456,0.9154779944698791
tuv,0.0002398426619922346,0.9154779944698791
32m,0.0002398426619922346,0.9154779944698791
portsmou,0.00023984266199223497,0.9154779944698791
hote,0.00023984266199223505,0.9154779944698791
antigua,0.00023984266199223505,0.9154779944698791
glassfish,0.0002398426619922351,0.9154779944698791
ypqe,0.0002398426619922353,0.9154779944698791
wtw,0.0002398426619922353,0.9154779944698791
amp5,0.0002398426619922353,0.9154779944698791
caregroup,0.0002398426619922353,0.9154779944698791
forging,0.00023984266199223535,0.9154779944698791
antipodean,0.00023984266199223535,0.9154779944698791
bistrotheque,0.00023984266199223546,0.9154779944698791
teaacher,0.0002398426619922355,0.9154779944698791
occupatioanl,0.0002398426619922355,0.9154779944698791
dir,0.00023984266199223562,0.9154779944698791
rk,0.00023984266199223567,0.9154779944698791
wishing,0.00023984266199223605,0.9154779944698791
maldon,0.000243987345604566,0.9140230011007732
handset,0.0002471345027776116,0.9129183820747516
supervsiing,0.00024791293063319944,0.9126451879503675
telford,0.0002482353046357772,0.9125320517944281
keting,0.0002485187732855727,0.9124325708252052
3rdline,0.00024860935354356585,0.9124007827176293
yrpqe,0.00024860935354356633,0.9124007827176293
multisilled,0.0002486093535435668,0.9124007827176293
evm,0.0002486093535435668,0.9124007827176293
stromness,0.0002498344231667621,0.9119708724057543
firth,0.0002498344231667656,0.9119708724057543
adatest,0.0002498678533651265,0.9119591411917338
workealing,0.0002531383664432176,0.9108115574545497
certified,0.0002532547404947181,0.9107707265947932
producer,0.0002566388984058351,0.9095834690022099
armature,0.00025828899031444294,0.9090046434888116
spectrum,0.00025834654013449893,0.9089844568174593
cunifer,0.0002609282686306158,0.9080789279570921
humber,0.0002633623983523478,0.9072252780245288
arcadia,0.00026584686094645814,0.9063540868510389
advisorlondon,0.00026750447832596933,0.9057728963168095
40,0.0002723519179812341,0.9040735872952069
affordable,0.00027240859576715325,0.9040537210365603
america,0.0002748922068221976,0.9031832435029986
skegness,0.0002766777164906133,0.9025575144219454
neuroimaging,0.00027801631365901794,0.9020884448139972
distance,0.00027801631365901794,0.9020884448139972
mech,0.00028456255326036903,0.8997950147274347
bullion,0.0002863427813044531,0.8991714679115944
painting,0.0002867710257330571,0.8990214793033977
woundcare,0.0002875382732974016,0.8987527670149841
sustainability,0.0002904316779242657,0.8977395177342821
rata,0.00029320570550828194,0.8967682299780536
reference,0.000293238744815111,0.8967566626480514
radiography,0.00029341762205823107,0.8966940366473997
kto,0.0002938994825400679,0.8965253375564273
harm,0.00029389948254006837,0.8965253375564273
meica,0.00029389948254006853,0.8965253375564273
swimwear,0.0002938994825400698,0.8965253375564273
managernew,0.0002941295958551325,0.8964447766593343
coherent,0.000294442964088026,0.8963350705878811
phaseslip,0.000294442964088026,0.8963350705878811
casino,0.00029799012962372965,0.895093393634411
sco,0.00030133042306624284,0.8939243665845639
band5,0.00030133042306624473,0.8939243665845639
vtl,0.00030133042306624744,0.8939243665845639
yip,0.00030133042306624826,0.8939243665845639
workerolder,0.000301330423066251,0.8939243665845639
hoddesdon,0.0003029575083393758,0.8933550069049636
sort,0.0003038924131109923,0.8930278841340202
worklfow,0.0003038924131109926,0.8930278841340202
miu,0.0003038924131109927,0.8930278841340202
ciscoccnamediaclon,0.00030389241311099414,0.8930278841340202
someone,0.0003038924131109948,0.8930278841340202
wwtw,0.00030389241311099495,0.8930278841340202
cqc,0.00030389241311099495,0.8930278841340202
buyeraffordable,0.00030389241311099506,0.8930278841340202
designerwear,0.00030389241311099647,0.8930278841340202
gweithgynhyrchu,0.00030389241311099766,0.8930278841340202
managersyour,0.0003038924131109988,0.8930278841340202
advisorlooking,0.00030389241311099934,0.8930278841340202
hnc,0.00030389241311100097,0.8930278841340202
submission,0.0003097342565677994,0.8909842398118702
bordercare,0.00031042548772510897,0.890742474994731
baes,0.00031042548772510897,0.890742474994731
robotic,0.00031133833244308704,0.8904232142151536
angus,0.0003148380206000418,0.8891993889014794
quedgeley,0.0003149141023944516,0.8891727863884181
nb,0.0003152078138990524,0.8890700892273139
supevisor,0.00031670236333475305,0.8885475442017148
locally,0.00031956339418324033,0.8875473663340475
livestock,0.00032090263070390677,0.8870792486972143
maintrol,0.00032161704148592836,0.8868295491832459
oundle,0.00032592552749585523,0.8853238942221919
69,0.00032596841836040957,0.8853089075428571
stand,0.00032601428880765245,0.8852928798088707
hepatitis,0.00033013158573726804,0.8838544332201507
rest,0.00033252557738165385,0.8830182278716113
alloy,0.0003358004895412152,0.8818745341205657
top5,0.00033918961153657024,0.8806912143282523
electical,0.00033918961153657165,0.8806912143282523
re,0.0003408878480673437,0.8800983711082219
christmas,0.00034146313812918666,0.8798975563563837
adsl,0.00034146313812919826,0.8798975563563837
bodmin,0.0003414631381291988,0.8798975563563837
sth,0.0003414631381292062,0.8798975563563837
safer,0.0003437313583068693,0.8791058709645235
copier,0.00034922799646086827,0.8771878616244169
fcaw,0.0003495497113293923,0.8770756239339432
apparel,0.000350120353513771,0.8768765482664737
hepatobiliary,0.00035158851506908185,0.8763643975350138
rented,0.0003553884130104825,0.8750390891076358
efficiency,0.00035668622959954765,0.874586523534134
webservices,0.00036444470159991153,0.8718819038728844
livingston,0.00036483470161960104,0.8717459882945181
sqa,0.0003673785399161607,0.8708595500519873
2198m4am,0.00036794216422975085,0.8706631687112041
appetite,0.00036794216422975144,0.8706631687112041
locki,0.00036794216422975177,0.8706631687112041
true,0.0003679421642297526,0.8706631687112041
hd,0.00036794216422975296,0.8706631687112041
shoredich,0.0003679421642297531,0.8706631687112041
managerbespoke,0.00036794216422975556,0.8706631687112041
engneer,0.0003679421642297571,0.8706631687112041
partnerwest,0.00036794216422975817,0.8706631687112041
biostatistical,0.0003679421642297588,0.8706631687112041
nosq,0.0003679421642297595,0.8706631687112041
haydock,0.00036794216422976,0.8706631687112041
exceptional,0.00037216193433541,0.869193145347609
burn,0.0003769632948347608,0.8675210657956176
icegs,0.0003774215273953366,0.8673615166028728
gee,0.0003774215273953366,0.8673615166028728
clean,0.00037816286360070823,0.8671034067497428
gloucestershi,0.00037844246803082074,0.8670060609941599
rock,0.0003784424680308246,0.8670060609941599
lu,0.00037844246803082513,0.8670060609941599
housewares,0.00037844246803082513,0.8670060609941599
stonehouse,0.0003784424680308261,0.8670060609941599
trackside,0.0003784424680308277,0.8670060609941599
campaigning,0.0003788637645375061,0.8668593881981804
talbot,0.0003800271529598179,0.8664543827209807
stored,0.00038361363595492597,0.8652060567288768
constuction,0.000383613635954943,0.8652060567288768
techincal,0.00038361363595495785,0.8652060567288768
rsa,0.0003844797405329929,0.8649046471029641
developerc,0.0003844797405330721,0.8649046471029641
spectroscopist,0.0003844797405330728,0.8649046470902007
stw,0.000384479740533073,0.8649046470902007
yorkshir,0.00038447974053307357,0.8649046470902007
eprocurement,0.00038447974053307444,0.8649046470902007
fertiliser,0.00038447974053307455,0.8649046470902007
envelope,0.0003844797405330829,0.8649046470902007
festival,0.00038481450266601605,0.864788153131837
aylsham,0.000387157089565384,0.8639730379192738
alumnus,0.0003896343586814807,0.8631112168236736
harrow,0.0003923374346351083,0.862171025302528
seafood,0.00039248474636882684,0.8621197925353211
maintainability,0.0003930889136586092,0.8619096783566086
5pm12am,0.0003999670397891335,0.8595183318476026
iat,0.0004023240513576956,0.8586991550920577
wright,0.0004043224228652061,0.8580047424150721
penninghame,0.00040432242286520724,0.8580047424150721
lochside,0.0004043224228652111,0.8580047424150721
prorata,0.0004044598945530158,0.8579569764986044
least,0.0004071248050313272,0.8570311297738535
levy,0.0004085740891592119,0.8565277000643462
like,0.0004117290213934248,0.8554319909926407
coordiantor,0.0004146822113344094,0.8544065995486382
originator,0.00041542179793243683,0.8541498425231432
flexray,0.0004154217979324441,0.8541498425231432
epidemiology,0.00041884126892934877,0.8529629302646173
cooling,0.000421733125717306,0.8519594146645455
weld,0.0004224328686321414,0.8517166298348114
ensington,0.00042281766391276605,0.8515831261270517
soldworks,0.00042430594521425955,0.8510668109525862
prc,0.00042430594521426486,0.8510668109525862
cadduct,0.00042430594521426594,0.8510668109525862
cheshunt,0.00042626777295021683,0.8503863104126875
pcse,0.0004297698695295623,0.8491718130587618
pcm,0.0004297698695295623,0.8491718130587618
coordinatorresidential,0.0004297698695295743,0.8491718130587618
clydebank,0.0004297698695295755,0.8491718130587618
size,0.00042976986952957577,0.8491718130587618
specialisation,0.00042976986952957577,0.8491718130587618
wyorks,0.0004297698695295831,0.8491718130587618
bright,0.00043060842980146923,0.8488810604863047
hbtmnd,0.0004319919153485087,0.848401411835595
wickwar,0.00043199191534850875,0.848401411835595
melting,0.00043199191534850885,0.848401411835595
xhtml5,0.000431991915348509,0.848401411835595
cornwallcountryside,0.00043199191534850907,0.848401411835595
draftman,0.00043199191534850907,0.848401411835595
managermiltons,0.0004319919153485091,0.848401411835595
keynesexciting,0.0004319919153485091,0.848401411835595
ice,0.0004319919153485091,0.848401411835595
gpa,0.0004319919153485092,0.848401411835595
dataanalyst,0.00043199191534850923,0.848401411835595
motorhomes,0.00043199191534850945,0.848401411835595
michelinquality,0.0004319919153485095,0.848401411835595
usiness,0.0004319919153485096,0.848401411835595
scranw,0.0004319919153485098,0.848401411835595
philanthropist,0.00043199191534850983,0.848401411835595
ppso,0.00043199191534850994,0.848401411835595
rtw,0.00043199191534851016,0.848401411835595
proeprty,0.00043199191534851016,0.848401411835595
hotelwest,0.00043199191534851026,0.848401411835595
berkeley,0.00043199191534851037,0.848401411835595
2541m4am,0.0004319919153485104,0.848401411835595
hydromechanical,0.0004319919153485104,0.848401411835595
uber,0.0004319919153485105,0.848401411835595
aspmvc,0.0004319919153485106,0.848401411835595
ccitrix,0.0004319919153485107,0.848401411835595
buyergrocery,0.0004319919153485109,0.848401411835595
redecoration,0.0004319919153485109,0.848401411835595
10uk,0.0004319919153485111,0.848401411835595
sixmonth,0.00043199191534851113,0.848401411835595
shareholder,0.00043199191534851113,0.848401411835595
complience,0.0004319919153485112,0.848401411835595
homepage,0.00043199191534851146,0.848401411835595
kentbased,0.0004319919153485117,0.848401411835595
sim,0.0004319919153485117,0.848401411835595
servicesote,0.00043199191534851184,0.848401411835595
managerumbrella,0.00043199191534851184,0.848401411835595
ff,0.00043199191534851184,0.848401411835595
meap,0.0004319919153485119,0.848401411835595
subassembly,0.0004319919153485119,0.848401411835595
consultantleading,0.000431991915348512,0.848401411835595
managerplayground,0.000431991915348512,0.848401411835595
managereducation,0.0004319919153485121,0.848401411835595
x7,0.00043199191534851216,0.848401411835595
secondarydubai,0.00043199191534851227,0.848401411835595
loop,0.00043199191534851227,0.848401411835595
senoir,0.0004319919153485123,0.848401411835595
manageraberdeen,0.0004319919153485125,0.848401411835595
ashbydelazouch,0.0004319919153485125,0.848401411835595
serice,0.00043199191534851254,0.848401411835595
miteltelephony,0.00043199191534851254,0.848401411835595
manging,0.0004319919153485127,0.848401411835595
resolver,0.0004319919153485129,0.848401411835595
stuctural,0.0004319919153485129,0.848401411835595
accumulation,0.000431991915348513,0.848401411835595
cvr,0.00043199191534851303,0.848401411835595
specialistgmpdocumentationpharmaceuticalsurrey,0.0004319919153485131,0.848401411835595
characterization,0.00043199191534851314,0.848401411835595
satff,0.00043199191534851325,0.848401411835595
buyerfresh,0.0004319919153485135,0.848401411835595
legendary,0.00043199191534851357,0.848401411835595
seniorstruc,0.00043199191534851357,0.848401411835595
sovereign,0.0004319919153485137,0.848401411835595
ccm,0.0004319919153485137,0.848401411835595
flyde,0.00043199191534851373,0.848401411835595
auditorcisa,0.00043199191534851373,0.848401411835595
coas,0.00043199191534851373,0.848401411835595
auditorsecurity,0.00043199191534851373,0.848401411835595
manageroutdoor,0.00043199191534851384,0.848401411835595
engineermechanical,0.00043199191534851406,0.848401411835595
medicale,0.00043199191534851406,0.848401411835595
vpls,0.00043199191534851433,0.848401411835595
managermedia,0.0004319919153485144,0.848401411835595
